node_u,node_v,label
57117690500,57210960198,1
57199839295,57223014620,1
57103819300,7005969319,1
57205695081,57211085447,1
57206481447,57222509786,1
54390925400,6701807050,1
57190167355,6603785139,1
57194431442,6602774577,1
57193155364,7003811166,1
57194289125,6602823371,1
35462639300,37050721900,1
58822981700,8342748400,1
12042047500,7202075544,1
55255901200,55257149800,1
56224796600,57203792010,1
57200755425,57214187155,1
35478909000,6603801818,1
16238022000,56047429200,1
57190161603,57206891141,1
57195309972,57205339235,1
58405037400,7004835587,1
57193241274,8585119800,1
56638311500,57216539523,1
55225014800,57190219361,1
55630517700,6602387255,1
16643141600,57216589597,1
56734378000,56866299600,1
57209721892,57218192507,1
57194876074,7006686754,1
55070746900,7101975791,1
10939275100,57210894280,1
55640145100,57202263698,1
57200552045,6507357025,1
57203099111,7202369029,1
57193163824,7004426962,1
16643616700,57200806732,1
57193699176,57214184119,1
57191250687,6601964582,1
55556296100,57193011405,1
55535491100,6602277744,1
35367031900,57195769948,1
57211214455,57218477328,1
57214192009,7801650202,1
27067901300,7003942962,1
57193343345,57213557667,1
57192199126,57221532970,1
24476818100,7004916334,1
56845192300,57195573495,1
57192073087,57196343089,1
23971662700,8059496300,1
57204023107,6603813409,1
57205760368,57217661773,1
49061029800,57201344847,1
55665656200,57211215663,1
57213595044,6602506368,1
55173582700,57194869340,1
36923965900,57203028938,1
6506645414,6603097867,1
35758609900,55620172900,1
56557107400,7102802523,1
57201026134,57221949854,1
57896963200,7203007412,1
57164866900,6701547321,1
12779013400,6603156028,1
36663263400,57201026134,1
6507157339,7801498529,1
37118135700,57200755425,1
56921446800,57823268500,1
23485751700,57241560600,1
35091557600,57679447700,1
55388149200,57212486335,1
14219526400,55172863100,1
56734378000,7801358604,1
6603165760,8721928400,1
7003810795,7203013613,1
54383232900,57220899192,1
23091409000,57188766397,1
55356969200,60100025400,1
13612663800,7102266163,1
56386934800,57219883772,1
14060455600,57329860400,1
50162339500,57191692420,1
55209865200,57198056374,1
56146474900,57204531379,1
57191039949,6506716797,1
57193493655,57218195605,1
24479726500,56385629000,1
56231177500,56472729600,1
16064360400,7005909070,1
56055096500,57209449016,1
57195100670,8722213800,1
55332536900,55647917800,1
57190969497,57195558385,1
36573296000,37048606300,1
57204478890,57211169861,1
35606519100,56063146500,1
55842599300,56418579500,1
55955245900,57204542974,1
57214551475,57215129481,1
55424695500,57190660749,1
12782630800,55597926500,1
57195731822,57204088786,1
55868704200,6507993283,1
25230650200,7005323635,1
36991101500,57222359921,1
55249712800,6602826319,1
26634884900,57221949854,1
25121531900,6603391847,1
54789187900,57205760368,1
57196347416,57201677203,1
57211350803,9746797800,1
57194547700,57212083287,1
24479959000,6602436600,1
57190799130,57195442657,1
56349737900,6602366281,1
57215150045,6603400945,1
57216279131,6508357924,1
14021049800,57191402881,1
57193750121,7004894512,1
23094594000,57203863712,1
15754481800,35497272700,1
57201983152,57315163000,1
57192679655,57218194363,1
56340522700,57212348641,1
23003258800,56593551000,1
16243020100,57192679655,1
57200378728,7102266163,1
57210841993,57608704100,1
45161224700,57201095477,1
56430927200,57209721892,1
55204775100,55351753800,1
55587917400,57188714069,1
26635822900,7006940836,1
12785708100,57200114017,1
55293802600,57223902831,1
56414241800,57210185493,1
57212783125,7005468526,1
55113709300,6701424197,1
54996034100,6507796594,1
24377391500,57197858027,1
15926246800,55189438200,1
55558132100,57194434562,1
7004521489,7202219958,1
55583329900,57194288925,1
36994478600,57198357708,1
57193493655,6506906545,1
57193520263,57199839295,1
57210691053,6504651173,1
57219169179,6506541996,1
57219433461,6601978164,1
36561004700,8219543000,1
57788715000,57932857700,1
56267927900,57201504995,1
57205287889,7003810795,1
59586827600,7005372641,1
15754481800,56313591900,1
6602589883,8714404600,1
37050828000,57217595641,1
57209641808,57209644316,1
57192963392,9273383800,1
26655075400,7103040365,1
57192275447,57221582068,1
55706745500,57204952547,1
35092058800,56024985800,1
36704152400,56712342900,1
56295292100,57191365913,1
57212468699,57225024461,1
54080224900,57209577412,1
56513768800,57214492532,1
14025574900,56556565800,1
57208927123,57209267807,1
57200755425,6506541996,1
57201504995,57214191037,1
57193617332,57204150218,1
57201026134,57215695696,1
25947321200,55445412800,1
57189222869,7003322687,1
16202211100,6602404361,1
55196096200,6602257132,1
57214112643,7402214018,1
57205728568,6506736837,1
57729458200,6504443983,1
26023085000,57216401949,1
55907520600,58784487500,1
56664043200,57193684279,1
24469054700,57284778900,1
56241060700,56638221300,1
50960926700,56845192300,1
55228787000,6602101968,1
57204646396,57219615160,1
14831722300,57193213489,1
57208165882,57214178872,1
55620172900,57203894446,1
57196706353,57215486904,1
14824679900,57220096035,1
35095506200,57217120265,1
57190425867,57190969497,1
35478909000,57039005600,1
16062998800,57221501622,1
56062113100,57868661700,1
57215277461,57215281565,1
54913625700,57202677171,1
57218599145,57218602621,1
23134993400,57218551907,1
55666338900,6602619791,1
57191205328,7003810795,1
55257393500,57218194340,1
57205231421,57221683008,1
7102666167,7103040365,1
14019420400,57223087546,1
44761100500,7004835587,1
35741718500,7103061271,1
24381651100,56469166500,1
35338069100,57203974537,1
57198056374,57200935294,1
57216966843,7201676108,1
55640145100,56472729600,1
57209821049,57209827092,1
14424608900,7004426962,1
56575083300,57211057969,1
35227632100,35277170500,1
56958400900,9037312600,1
56151754500,57208437654,1
35568595300,55598364800,1
56576608900,57193730238,1
53866828200,57210390533,1
15073894300,57210122175,1
37059628800,57194464165,1
35355756600,7005969319,1
57194868042,57207489753,1
16400914200,35086939400,1
14030472900,56016071500,1
57196023105,57203409598,1
57222864884,58170860400,1
57200422086,7003322687,1
24472732900,57223130117,1
57218192507,7006177272,1
13402677300,7005323635,1
57837668400,57837726300,1
26023085000,57204858767,1
57207470126,57207472482,1
16301272000,57202060730,1
56641717100,7004481112,1
55621132400,56536258000,1
36081078700,6701380843,1
23567383600,58630072200,1
15836326300,7005310639,1
59842697900,6506130489,1
59436164000,6504786804,1
36085044800,7003572956,1
55180668900,57201434495,1
15755373400,57190799130,1
57195576902,57202581227,1
26021760100,57200108150,1
14831722300,26530872400,1
57315163000,57315582700,1
55014391800,6603790113,1
36087035200,57194289125,1
57203099111,7005330448,1
36476939000,36523912000,1
57218166257,7801650202,1
57202707010,57204803206,1
6506641033,6603582934,1
57093060300,6506694707,1
57191039949,57401816100,1
28067543600,57193161850,1
57207732171,7003959774,1
55332427600,57203923646,1
57192073087,7102743604,1
55569831000,57222610574,1
56046985600,57200270272,1
56430927200,7005936077,1
55226136900,56331374700,1
35619528200,8707619100,1
56909556400,6601969069,1
57207695231,57208673910,1
23567383600,57946903700,1
57190169567,7003450280,1
15047537900,35355756600,1
57189469159,57194769305,1
56059049400,57188985666,1
56131381100,7007180997,1
54405056900,8962997000,1
34869477000,6602789090,1
57209022661,6507737860,1
56527129000,57196146647,1
57219671587,8393086500,1
57218166257,59091724000,1
21743825200,6603605014,1
7003322687,7203007412,1
57771957800,7006241835,1
36151189100,7003942962,1
54584961800,54797008100,1
54892907100,59662811800,1
55918065400,56533630800,1
24779987100,57195560550,1
57194273004,6504736433,1
35422588700,8393086500,1
36991101500,56601334700,1
56708983100,57201668565,1
56779692100,57194523287,1
55984672100,55984752600,1
55569831000,57775927400,1
24435910800,36004680300,1
36450289100,57210207587,1
57201725370,57201726260,1
57223307001,6603865548,1
57190510305,57203868309,1
57194163562,57202054317,1
23987119600,57189584266,1
56834997800,6701843536,1
55664319500,56992895800,1
26645089900,57217346265,1
35191604400,7004583284,1
57204120304,8617799200,1
55356969200,57225141700,1
35473838700,55893235000,1
56985040800,57351582500,1
59432039000,8407935900,1
56678362800,7801369283,1
57201677203,57390357300,1
7003811166,7004751343,1
57040829300,7410400145,1
56835107500,57209721892,1
15047537900,57205369615,1
57212420665,7003731076,1
